DATA,V,I,T,SOC
2024-06-11 00:00:00,1323.8,16.1,42.5,82.5
2024-06-11 00:05:00,1323.9,16.9,47.4,82.5
2024-06-11 00:10:00,1324.0,18.3,55.8,82.5
2024-06-11 00:15:00,1323.8,15.4,63.4,82.5
2024-06-11 00:20:00,1324.0,16.8,41.7,82.5
2024-06-11 00:25:00,1323.7,16.4,46.9,82.5
2024-06-11 00:30:00,1323.6,18.4,55.5,82.5
2024-06-11 00:35:00,1323.9,16.6,63.1,82.5
2024-06-11 00:40:00,1323.5,15.5,41.5,82.5
2024-06-11 00:45:00,1323.4,14.0,46.4,82.5
2024-06-11 00:50:00,1323.4,15.7,54.9,82.5
2024-06-11 00:55:00,1323.7,13.8,62.7,82.5
2024-06-11 01:00:00,1323.2,14.9,42.4,82.5
2024-06-11 01:05:00,1323.3,13.6,46.1,82.5
2024-06-11 01:10:00,1323.5,12.8,55.0,82.5
2024-06-11 01:15:00,1323.1,13.4,62.5,82.5
2024-06-11 01:20:00,1323.2,17.1,42.2,82.5
2024-06-11 01:25:00,1322.9,17.4,45.8,82.5
2024-06-11 01:30:00,1323.0,13.4,54.4,82.5
2024-06-11 01:35:00,1323.1,18.8,62.1,82.5
2024-06-11 01:40:00,1323.2,17.7,42.8,82.5
2024-06-11 01:45:00,1322.9,14.6,44.9,82.5
2024-06-11 01:50:00,1322.8,15.5,53.7,82.5
2024-06-11 01:55:00,1322.9,17.2,61.4,82.5
2024-06-11 02:00:00,1322.6,12.7,43.7,82.5
2024-06-11 02:05:00,1322.3,14.9,43.6,82.5
2024-06-11 02:10:00,1322.7,14.1,52.4,82.5
2024-06-11 02:15:00,1323.0,16.5,60.3,82.5
2024-06-11 02:20:00,1322.6,16.2,45.9,82.5
2024-06-11 02:25:00,1322.4,15.2,42.1,82.5
2024-06-11 02:30:00,1322.4,15.5,50.7,82.5
2024-06-11 02:35:00,1322.4,18.2,58.7,82.5
2024-06-11 02:40:00,1307.3,454.5,48.5,81.8
2024-06-11 02:45:00,1293.8,951.4,61.2,78.6
2024-06-11 02:50:00,1293.7,949.8,63.5,74.7
2024-06-11 02:55:00,1292.9,946.7,64.1,70.7
2024-06-11 03:00:00,1291.7,949.4,64.1,66.7
2024-06-11 03:05:00,1289.2,952.3,64.4,62.7
2024-06-11 03:10:00,1286.3,951.5,64.7,58.7
2024-06-11 03:15:00,1282.2,955.3,65.5,54.7
2024-06-11 03:20:00,1277.5,960.6,65.0,50.6
2024-06-11 03:25:00,1272.2,963.9,64.9,46.6
2024-06-11 03:30:00,1265.4,966.1,65.0,42.5
2024-06-11 03:35:00,1257.0,976.0,65.1,8.2
2024-06-11 03:40:00,1287.1,0.0,35.8,7.0
2024-06-11 03:45:00,1289.1,0.0,34.7,7.0
2024-06-11 03:50:00,1289.7,-1.5,35.1,7.0
2024-06-11 03:55:00,1290.3,1.1,35.4,7.0
2024-06-11 04:00:00,1290.6,1.2,35.8,7.0
2024-06-11 04:05:00,1290.7,1.3,36.1,7.0
2024-06-11 04:10:00,1290.9,1.3,36.4,7.0
2024-06-11 04:15:00,1291.0,1.1,36.6,7.0
2024-06-11 04:20:00,1291.0,1.2,36.8,7.0
2024-06-11 04:25:00,1291.0,1.5,37.0,7.0
2024-06-11 04:30:00,1291.1,1.5,37.1,7.0
2024-06-11 04:35:00,1291.2,1.2,37.3,7.0
2024-06-11 04:40:00,1291.2,1.1,37.4,7.0
2024-06-11 04:45:00,1291.2,1.2,37.5,7.0
2024-06-11 04:50:00,1291.3,1.4,37.6,7.0
2024-06-11 04:55:00,1291.3,1.4,37.7,7.0
2024-06-11 05:00:00,1291.3,1.3,37.8,7.0
2024-06-11 05:05:00,1291.3,1.5,37.8,7.0
2024-06-11 05:10:00,1291.3,1.3,37.9,7.0
2024-06-11 05:15:00,1291.3,1.3,37.9,7.0
2024-06-11 05:20:00,1291.4,1.4,37.9,7.0
2024-06-11 05:25:00,1291.3,1.2,37.9,7.0
2024-06-11 05:30:00,1291.3,1.3,37.9,7.0
2024-06-11 05:35:00,1291.4,1.4,37.9,7.0
2024-06-11 05:40:00,1291.4,1.4,38.0,7.0
2024-06-11 05:45:00,1291.4,1.4,37.9,7.0
2024-06-11 05:50:00,1291.4,1.5,37.9,7.0
2024-06-11 05:55:00,1291.4,1.4,37.9,7.0
2024-06-11 06:00:00,1291.4,1.3,37.8,7.0
2024-06-11 06:05:00,1291.4,1.2,37.8,7.0
2024-06-11 06:10:00,1291.4,1.2,37.8,7.0
2024-06-11 06:15:00,1291.5,1.1,37.8,7.0
2024-06-11 06:20:00,1291.5,1.4,37.7,7.0
2024-06-11 06:25:00,1291.4,1.4,37.7,7.0
2024-06-11 06:30:00,1291.5,1.4,37.6,7.0
2024-06-11 06:35:00,1291.4,1.4,37.6,7.0
2024-06-11 06:40:00,1291.4,1.5,37.5,7.0
2024-06-11 06:45:00,1291.5,0.2,37.5,7.0
2024-06-11 06:50:00,1291.4,0.3,37.5,7.0
2024-06-11 06:55:00,1291.5,1.4,37.5,7.0
2024-06-11 07:00:00,1291.4,1.4,37.5,7.0
2024-06-11 07:05:00,1291.6,1.3,37.4,7.0
2024-06-11 07:10:00,1291.5,0.3,37.4,7.0
2024-06-11 07:15:00,1291.5,1.1,37.4,7.0
2024-06-11 07:20:00,1291.6,0.2,37.5,7.0
2024-06-11 07:25:00,1291.5,0.3,37.5,7.0
2024-06-11 07:30:00,1291.5,0.2,37.5,7.0
2024-06-11 07:35:00,1291.6,0.0,37.5,7.0
2024-06-11 07:40:00,1291.6,1.5,37.5,7.0
2024-06-11 07:45:00,1291.7,0.3,37.6,7.0
2024-06-11 07:50:00,1291.6,0.4,37.6,7.0
2024-06-11 07:55:00,1291.6,0.3,37.7,7.0
2024-06-11 08:00:00,1291.6,1.5,37.7,7.0
2024-06-11 08:05:00,1291.6,0.2,37.8,7.0
2024-06-11 08:10:00,1291.7,0.1,37.8,7.0
2024-06-11 08:15:00,1291.6,0.2,37.9,7.0
2024-06-11 08:20:00,1291.6,0.5,38.0,7.0
2024-06-11 08:25:00,1291.7,0.4,38.0,7.0
2024-06-11 08:30:00,1291.6,0.3,38.1,7.0
2024-06-11 08:35:00,1291.7,0.9,38.2,7.0
2024-06-11 08:40:00,1291.7,0.2,38.3,7.0
2024-06-11 08:45:00,1291.7,0.0,38.3,7.0
2024-06-11 08:50:00,1291.7,0.2,38.4,7.0
2024-06-11 08:55:00,1291.7,0.0,38.5,7.0
2024-06-11 09:00:00,1291.7,0.0,38.6,7.0
2024-06-11 09:05:00,1291.7,1.6,38.6,7.0
2024-06-11 09:10:00,1291.7,0.2,38.7,7.0
2024-06-11 09:15:00,1291.7,1.4,38.8,7.0
2024-06-11 09:20:00,1291.7,0.3,38.9,7.0
2024-06-11 09:25:00,1291.7,0.2,38.9,7.0
2024-06-11 09:30:00,1291.7,0.3,39.0,7.0
2024-06-11 09:35:00,1291.7,-0.1,39.1,7.0
2024-06-11 09:40:00,1291.8,0.1,39.2,7.0
2024-06-11 09:45:00,1291.7,0.2,39.3,7.0
2024-06-11 09:50:00,1291.7,0.1,39.4,7.0
2024-06-11 09:55:00,1291.8,0.3,39.4,7.0
2024-06-11 10:00:00,1291.8,0.3,39.5,7.0
2024-06-11 10:05:00,1291.8,0.2,39.6,7.0
2024-06-11 10:10:00,1291.8,0.1,39.7,7.0
2024-06-11 10:15:00,1291.7,0.1,39.7,7.0
2024-06-11 10:20:00,1291.8,0.0,39.9,7.0
2024-06-11 10:25:00,1291.8,0.0,40.0,7.0
2024-06-11 10:30:00,1291.7,0.1,40.1,7.0
2024-06-11 10:35:00,1291.8,-0.1,40.2,7.0
2024-06-11 10:40:00,1291.8,0.1,40.2,7.0
2024-06-11 10:45:00,1291.8,0.1,40.3,7.0
2024-06-11 10:50:00,1291.8,0.2,40.4,7.0
2024-06-11 10:55:00,1291.8,0.2,40.5,7.0
2024-06-11 11:00:00,1291.8,0.0,40.6,7.0
2024-06-11 11:05:00,1291.8,0.3,40.7,7.0
2024-06-11 11:10:00,1291.8,0.0,40.8,7.0
2024-06-11 11:15:00,1291.9,0.2,40.8,7.0
2024-06-11 11:20:00,1291.8,0.1,40.9,7.0
2024-06-11 11:25:00,1292.0,0.0,41.0,7.0
2024-06-11 11:30:00,1291.9,0.3,41.0,7.0
2024-06-11 11:35:00,1291.9,0.5,41.1,7.0
2024-06-11 11:40:00,1291.9,0.2,41.3,7.0
2024-06-11 11:45:00,1291.8,0.2,41.3,7.0
2024-06-11 11:50:00,1291.9,0.3,41.4,7.0
2024-06-11 11:55:00,1291.8,0.3,41.5,7.0
2024-06-11 12:00:00,1291.9,0.0,41.6,7.0
2024-06-11 12:05:00,1291.9,0.0,41.7,7.0
2024-06-11 12:10:00,1292.0,0.3,41.8,7.0
2024-06-11 12:15:00,1291.9,0.2,41.9,7.0
2024-06-11 12:20:00,1291.9,0.1,41.9,7.0
2024-06-11 12:25:00,1292.0,0.2,42.0,7.0
2024-06-11 12:30:00,1296.9,-170.8,45.7,7.0
2024-06-11 12:35:00,1308.6,-174.7,62.9,7.9
2024-06-11 12:40:00,1331.2,-676.5,64.3,10.4
2024-06-11 12:45:00,1344.1,-919.8,74.9,13.9
2024-06-11 12:50:00,1349.9,-916.8,77.6,17.7
2024-06-11 12:55:00,1353.7,-916.1,78.7,21.5
2024-06-11 13:00:00,1354.6,-913.0,79.1,25.4
2024-06-11 13:05:00,1354.6,-912.6,79.2,29.2
2024-06-11 13:10:00,1355.1,-911.7,79.2,33.0
2024-06-11 13:15:00,1355.8,-910.4,79.9,36.9
2024-06-11 13:20:00,1356.6,-912.5,79.7,40.7
2024-06-11 13:25:00,1354.3,-834.1,73.0,44.3
2024-06-11 13:30:00,1352.4,-667.4,68.5,47.3
2024-06-11 13:35:00,1358.6,-827.6,73.2,50.3
2024-06-11 13:40:00,1364.0,-905.5,77.8,53.8
2024-06-11 13:45:00,1366.6,-903.4,80.9,57.6
2024-06-11 13:50:00,1368.4,-906.8,81.7,61.4
2024-06-11 13:55:00,1369.9,-903.2,81.6,65.2
2024-06-11 14:00:00,1371.9,-907.1,81.8,69.0
2024-06-11 14:05:00,1365.1,-605.7,71.9,72.4
2024-06-11 14:10:00,1346.6,-91.4,52.0,73.5
2024-06-11 14:15:00,1342.2,0.0,44.5,73.5
2024-06-11 14:20:00,1341.9,1.2,44.8,73.5
2024-06-11 14:25:00,1341.6,1.0,45.1,73.5
2024-06-11 14:30:00,1341.5,1.1,45.2,73.5
2024-06-11 14:35:00,1341.4,1.3,45.4,73.5
2024-06-11 14:40:00,1341.4,1.2,45.5,73.5
2024-06-11 14:45:00,1341.3,1.1,45.7,73.5
2024-06-11 14:50:00,1341.4,1.4,45.8,73.5
2024-06-11 14:55:00,1341.3,1.3,45.9,73.5
2024-06-11 15:00:00,1341.3,1.3,46.1,73.5
2024-06-11 15:05:00,1341.2,1.4,46.2,73.5
2024-06-11 15:10:00,1341.3,1.3,46.3,73.5
2024-06-11 15:15:00,1341.3,1.4,46.4,73.5
2024-06-11 15:20:00,1341.3,1.4,46.5,73.5
2024-06-11 15:25:00,1341.2,1.3,46.6,73.5
2024-06-11 15:30:00,1341.2,1.3,46.7,73.5
2024-06-11 15:35:00,1341.2,1.2,46.7,73.5
2024-06-11 15:40:00,1341.3,1.3,46.8,73.5
2024-06-11 15:45:00,1341.3,1.2,46.9,73.5
2024-06-11 15:50:00,1341.2,1.3,46.9,73.5
2024-06-11 15:55:00,1341.2,1.2,46.9,73.5
2024-06-11 16:00:00,1341.4,1.3,46.9,73.5
2024-06-11 16:05:00,1341.3,1.1,46.9,73.5
2024-06-11 16:10:00,1341.3,1.7,47.0,73.5
2024-06-11 16:15:00,1341.2,1.4,47.0,73.5
2024-06-11 16:20:00,1341.2,1.1,47.0,73.5
2024-06-11 16:25:00,1341.2,0.8,47.0,73.5
2024-06-11 16:30:00,1341.2,0.1,47.0,73.5
2024-06-11 16:35:00,1341.2,1.2,46.9,73.5
2024-06-11 16:40:00,1341.2,1.3,46.9,73.5
2024-06-11 16:45:00,1341.2,1.6,46.9,73.5
2024-06-11 16:50:00,1341.2,0.9,46.8,73.5
2024-06-11 16:55:00,1341.2,1.5,46.7,73.5
2024-06-11 17:00:00,1341.2,1.4,46.6,73.5
2024-06-11 17:05:00,1341.2,1.2,46.6,73.5
2024-06-11 17:10:00,1341.2,1.3,46.6,73.5
2024-06-11 17:15:00,1341.2,1.4,46.6,73.5
2024-06-11 17:20:00,1341.3,1.2,46.5,73.5
2024-06-11 17:25:00,1341.2,0.5,46.5,73.5
2024-06-11 17:30:00,1341.2,1.5,46.4,73.5
2024-06-11 17:35:00,1341.2,1.1,46.3,73.5
2024-06-11 17:40:00,1341.2,1.2,46.3,73.5
2024-06-11 17:45:00,1341.2,1.3,46.2,73.5
2024-06-11 17:50:00,1341.2,1.5,46.2,73.5
2024-06-11 17:55:00,1341.2,1.4,46.1,73.5
2024-06-11 18:00:00,1341.1,1.4,46.1,73.5
2024-06-11 18:05:00,1341.1,1.1,46.1,73.5
2024-06-11 18:10:00,1341.2,1.5,46.0,73.5
2024-06-11 18:15:00,1341.2,1.4,46.0,73.5
2024-06-11 18:20:00,1341.2,1.5,46.0,73.5
2024-06-11 18:25:00,1341.2,0.9,45.9,73.5
2024-06-11 18:30:00,1341.2,0.1,45.9,73.5
2024-06-11 18:35:00,1341.2,0.1,46.0,73.5
2024-06-11 18:40:00,1341.1,1.2,46.0,73.5
2024-06-11 18:45:00,1341.2,1.5,46.0,73.5
2024-06-11 18:50:00,1341.1,1.2,46.0,73.5
2024-06-11 18:55:00,1341.3,1.3,46.0,73.5
2024-06-11 19:00:00,1341.1,1.1,46.0,73.5
2024-06-11 19:05:00,1341.3,0.0,46.1,73.5
2024-06-11 19:10:00,1341.2,1.2,46.1,73.5
2024-06-11 19:15:00,1341.2,1.5,46.1,73.5
2024-06-11 19:20:00,1341.1,1.4,46.1,73.5
2024-06-11 19:25:00,1341.2,1.0,46.1,73.5
2024-06-11 19:30:00,1341.1,1.3,46.1,73.5
2024-06-11 19:35:00,1341.1,1.4,46.0,73.5
2024-06-11 19:40:00,1341.1,1.3,46.0,73.5
2024-06-11 19:45:00,1341.1,1.4,46.0,73.5
2024-06-11 19:50:00,1341.1,1.3,45.9,73.5
2024-06-11 19:55:00,1341.1,1.4,45.9,73.5
2024-06-11 20:00:00,1341.1,1.5,45.9,73.5
2024-06-11 20:05:00,1341.1,1.2,45.9,73.5
2024-06-11 20:10:00,1341.1,1.3,45.8,73.5
2024-06-11 20:15:00,1331.7,211.8,53.1,73.4
2024-06-11 20:20:00,1321.9,425.8,54.9,72.1
